field,value
command,sensor random_train_profile 10 1800 2100 40 32 40 120 1000
metadata.count,10
metadata.duration_ms,40
metadata.duty,32
metadata.host_capture_finished_perf_counter_s,9372.167809205
metadata.host_capture_finished_wall_time_s,1779483215.913486958
metadata.host_command_sent_perf_counter_s,9354.285852842
metadata.host_command_sent_wall_time_s,1779483198.031531811
metadata.max_period_ms,2100
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,2687
baseline_adc,2902.714285714286
fall_time_ms,
peak_adc,3867.0
peak_time_ms,9622.144
pulse_count,10
pulse_width_ms,
rise_time_ms,
sample_count,2687
sample_interval_avg_ms,6.641225614296351
sample_interval_max_ms,12.71
sample_interval_min_ms,3.636000000000003
threshold_adc,3384.857142857143
threshold_crossing_ms,
