field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,177730.259733346
metadata.host_capture_finished_wall_time_s,1779832237.276370764
metadata.host_command_sent_perf_counter_s,177612.348352730
metadata.host_command_sent_wall_time_s,1779832119.364993334
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17618
baseline_adc,602.7142857142857
fall_time_ms,
peak_adc,4095.0
peak_time_ms,47.066
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17618
sample_interval_avg_ms,6.6899545325537835
sample_interval_max_ms,16.495999999999185
sample_interval_min_ms,3.6340000000000146
threshold_adc,2348.8571428571427
threshold_crossing_ms,
