field,value
command,sensor random_train_profile 5 1800 2100 40 32 40 120 1000
metadata.count,5
metadata.duration_ms,40
metadata.duty,32
metadata.host_capture_finished_perf_counter_s,9282.081087104
metadata.host_capture_finished_wall_time_s,1779483125.826764822
metadata.host_command_sent_perf_counter_s,9274.039272072
metadata.host_command_sent_wall_time_s,1779483117.784950733
metadata.max_period_ms,2100
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,1212
baseline_adc,2886.8571428571427
fall_time_ms,
peak_adc,3865.0
peak_time_ms,7872.731
pulse_count,5
pulse_width_ms,
rise_time_ms,
sample_count,1212
sample_interval_avg_ms,6.61040132122213
sample_interval_max_ms,14.388000000000034
sample_interval_min_ms,3.6449999999999996
threshold_adc,3375.9285714285716
threshold_crossing_ms,
