field,value
command,sensor random_train_profile 60 1800 2200 40 1023 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,175089.014276741
metadata.host_capture_finished_wall_time_s,1779829596.030910969
metadata.host_command_sent_perf_counter_s,174971.241186615
metadata.host_command_sent_wall_time_s,1779829478.257822752
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17604
baseline_adc,609.0
fall_time_ms,
peak_adc,4095.0
peak_time_ms,46.744
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17604
sample_interval_avg_ms,6.687808271317389
sample_interval_max_ms,15.986000000004424
sample_interval_min_ms,3.6500000000000004
threshold_adc,2352.0
threshold_crossing_ms,
